ts,timestamp,latitudeLog,longitudeLog,temp_data,hPa_data,hum_data,lux_data,ox_data,red_data,nh3_data,pm1_data,pm25_data,pm10_data
1637317141,19/11/2021 10:19,52.078795,5.124806667,18.85340261,1029.754254,64.13167126,1501.696,3.516908213,514.3703704,120,6,9,9
1637317144,19/11/2021 10:19,52.078795,5.1248,18.87629373,1029.745248,63.98725649,1538.93035,3.574468085,514.3703704,119,6,9,9
1637317146,19/11/2021 10:19,52.078795,5.1248,18.90535001,1029.733388,64.01625839,1572.67915,3.574468085,514.3703704,118.5042493,6,9,9
1637317149,19/11/2021 10:19,52.07879167,5.124803333,18.91431216,1029.727935,63.88311677,1597.50205,3.574468085,514.3703704,119,5,9,10
1637317151,19/11/2021 10:19,52.07879167,5.124803333,18.945766,1029.729908,63.80612667,1613.03015,3.574468085,514.3703704,119,5,9,10
1637317154,19/11/2021 10:19,52.07879333,5.1248,18.97653483,1029.722294,63.68440833,1619.26345,3.6321394,514.3703704,120,4,7,8
1637317157,19/11/2021 10:19,52.07879333,5.1248,18.9896071,1029.722931,63.62404901,1622.0112,3.6321394,514.3703704,120,5,8,9
1637317159,19/11/2021 10:19,52.078795,5.124766667,19.01187017,1029.719947,63.51345904,1617.17935,3.6321394,514.3703704,120,5,7,8
1637317162,19/11/2021 10:19,52.078795,5.124766667,19.03070815,1029.717025,63.36916179,1605.7453,3.6321394,514.3703704,120.504298,4,7,8
1637317164,19/11/2021 10:19,52.078795,5.124766667,19.05599686,1029.72699,63.34767678,1588.68645,3.6321394,514.3703704,120,5,7,9
1637317167,19/11/2021 10:19,52.078795,5.124766667,19.06530155,1029.703179,63.36531745,1575.72165,3.6321394,514.3703704,119,5,7,9
1637317170,19/11/2021 10:19,52.078795,5.124766667,19.07392122,1029.695492,63.26000139,1557.86985,3.689922481,514.3703704,119,5,7,8
1637317172,19/11/2021 10:19,52.078795,5.124766667,19.07506266,1029.707675,63.19941159,1545.27395,3.689922481,514.3703704,119.4985755,4,6,7
1637317175,19/11/2021 10:19,52.078795,5.124766667,19.08676492,1029.709699,63.17246447,1529.37695,3.689922481,514.3703704,119.4985755,5,8,8
1637317177,19/11/2021 10:19,52.078795,5.124766667,19.0953846,1029.715722,63.08947704,1508.0396,3.689922481,514.3703704,120,6,8,9
1637317180,19/11/2021 10:19,52.078795,5.124766667,19.0948135,1029.703079,63.01760816,1482.79265,3.689922481,514.3703704,120,6,10,10
1637317183,19/11/2021 10:19,52.078795,5.124766667,19.11975972,1029.700528,62.97931784,1470.19675,3.747817653,514.3703704,120,6,8,8
1637317185,19/11/2021 10:19,52.078795,5.124766667,19.13209005,1029.694806,62.86814369,1453.69125,3.747817653,514.3703704,120.504298,5,8,9
1637317188,19/11/2021 10:19,52.078795,5.124766667,19.15092807,1029.688442,62.77963808,1433.27615,3.747817653,514.3703704,120.504298,6,8,9
1637317191,19/11/2021 10:19,52.078795,5.124766667,19.16702601,1029.700303,62.77483838,1424.5347,3.747817653,514.3703704,120.504298,6,8,8
1637317193,19/11/2021 10:19,52.078795,5.124766667,19.19671042,1029.708103,62.73636332,1421.6025,3.747817653,514.3703704,121.0114943,6,8,8
1637317196,19/11/2021 10:19,52.078795,5.124766667,19.20664319,1029.703967,62.69771808,1417.87735,3.747817653,514.3703704,120.504298,6,8,8
1637317198,19/11/2021 10:19,52.078795,5.124765,19.20427966,1029.701669,62.63123519,1425.21735,3.805825243,514.3703704,120.504298,6,8,8
1637317201,19/11/2021 10:20,52.078795,5.124765,19.22962538,1029.708376,62.75546705,1433.90365,3.805825243,514.3703704,121.0114943,6,7,7
1637317204,19/11/2021 10:20,52.078795,5.124765,19.2481209,1029.701497,62.51595839,1439.65775,3.805825243,514.3703704,121.0114943,6,6,6
1637317206,19/11/2021 10:20,52.078795,5.124765,19.24444431,1029.709351,62.39946573,1459.7781,3.805825243,514.3703704,121.5216138,4,5,6
1637317209,19/11/2021 10:20,52.078795,5.124765,19.26088478,1029.718286,62.37229957,1477.1507,3.805825243,514.3703704,121.5216138,5,7,7
1637317211,19/11/2021 10:20,52.078795,5.124765,19.29681428,1029.727469,62.40128339,1502.4718,3.863945578,514.3703704,121.5216138,5,7,7
1637317214,19/11/2021 10:20,52.078795,5.124766667,19.3043495,1029.726634,62.70920308,1544.2984,3.863945578,514.3703704,121.0114943,4,7,7
1637317217,19/11/2021 10:20,52.078795,5.124766667,19.32627014,1029.705962,62.31881648,1581.6069,3.863945578,514.3703704,121.0114943,4,5,5
1637317219,19/11/2021 10:20,52.078795,5.124765,19.35369387,1029.697484,62.15762468,1626.2554,3.863945578,514.3703704,120.504298,3,6,6
1637317222,19/11/2021 10:20,52.078795,5.124765,19.3664807,1029.699471,62.0751111,1673.04315,3.863945578,509.1376147,120.504298,4,7,7
1637317225,19/11/2021 10:20,52.078795,5.124765,19.3802381,1029.683936,61.98665051,1719.5913,3.863945578,509.1376147,120.504298,4,6,6
1637317227,19/11/2021 10:20,52.078795,5.124765,19.41032203,1029.69241,61.9597168,1808.9263,3.863945578,514.3703704,120.504298,3,6,7
1637317230,19/11/2021 10:20,52.078795,5.124765,19.42990211,1029.690645,61.83235,1837.34505,3.922178988,509.1376147,120.504298,4,7,6
1637317232,19/11/2021 10:20,52.078795,5.124765,19.46506672,1029.689402,61.76609424,1868.77015,3.922178988,509.1376147,120.504298,3,6,6
1637317235,19/11/2021 10:20,52.078795,5.124766667,19.48251185,1029.68891,61.68328511,1902.75855,3.922178988,509.1376147,120.504298,3,6,6
1637317238,19/11/2021 10:20,52.078795,5.124766667,19.51978853,1029.704605,61.68464356,1923.67185,3.922178988,509.1376147,120.504298,4,7,7
1637317240,19/11/2021 10:20,52.078795,5.124766667,19.51508446,1029.698912,61.65191368,1955.09695,3.922178988,509.1376147,120,4,9,9
1637317243,19/11/2021 10:20,52.078795,5.124766667,19.50901035,1029.699764,61.57994204,1989.768,3.922178988,509.1376147,120,6,8,8
1637317245,19/11/2021 10:20,52.078795,5.124766667,19.52271079,1029.694333,61.50782105,2024.6235,3.922178988,509.1376147,119.4985755,5,9,10
1637317248,19/11/2021 10:20,52.078795,5.124766667,19.55995339,1029.712217,61.46930796,2060.51155,3.922178988,509.1376147,119,5,8,9
1637317251,19/11/2021 10:20,52.078795,5.124768333,19.56377801,1029.687091,61.42508429,2090.1663,3.922178988,509.1376147,119,5,8,9
1637317253,19/11/2021 10:20,52.078795,5.124768333,19.59828053,1029.690621,61.45920477,2114.19625,3.980525803,509.1376147,118.5042493,5,7,8
1637317256,19/11/2021 10:20,52.078795,5.124768333,19.6279879,1029.704202,61.61624321,2149.66025,3.980525803,509.1376147,117.5211268,4,7,8
1637317258,19/11/2021 10:20,52.078795,5.124768333,19.63221204,1029.712348,61.49405462,2185.3087,3.980525803,504,117.0337079,6,8,9
1637317261,19/11/2021 10:21,52.078795,5.124768333,19.65144967,1029.715201,61.54010327,2218.02495,3.980525803,509.1376147,116.0670391,6,8,9
1637317264,19/11/2021 10:21,52.078795,5.124768333,19.66926026,1029.705558,61.47375124,2243.95455,3.980525803,509.1376147,116.5490196,5,8,9
1637317266,19/11/2021 10:21,52.07879333,5.12477,19.67108683,1029.725591,61.28424105,2257.65715,3.980525803,504,117.0337079,5,7,8
1637317269,19/11/2021 10:21,52.07879333,5.12477,19.68815539,1029.713047,61.12228141,2263.8353,3.980525803,504,117.5211268,5,7,8
1637317272,19/11/2021 10:21,52.078795,5.124768333,19.70796405,1029.704562,61.12840934,2248.86055,3.980525803,504,117.5211268,5,6,6
1637317274,19/11/2021 10:21,52.078795,5.124768333,19.72537512,1029.70282,61.02244226,2236.818,3.980525803,504,118.0112994,5,7,7
1637317277,19/11/2021 10:21,52.078795,5.124768333,19.74210118,1029.688051,61.03402824,2222.08285,4.038986355,504,118.0112994,5,7,7
1637317279,19/11/2021 10:21,52.078795,5.124768333,19.75338117,1029.688697,60.99003562,2203.12435,4.038986355,504,117.0337079,5,7,7
1637317282,19/11/2021 10:21,52.07879333,5.12477,19.76063093,1029.692655,60.92353091,2166.92255,4.038986355,504,116.5490196,5,8,8
1637317285,19/11/2021 10:21,52.07879333,5.12477,19.76068794,1029.694537,60.82869659,2132.1222,4.038986355,509.1376147,117.0337079,5,9,8
1637317287,19/11/2021 10:21,52.07879333,5.12477,19.74981871,1029.683123,60.75642662,2086.8652,4.038986355,504,117.0337079,4,7,8
1637317290,19/11/2021 10:21,52.07879333,5.12477,19.75158829,1029.680677,60.77927245,2036.7212,4.038986355,504,118.0112994,5,7,7
1637317292,19/11/2021 10:21,52.07879333,5.12477,19.77141984,1029.674559,60.71229269,2000.57455,4.038986355,509.1376147,119,5,7,7
1637317295,19/11/2021 10:21,52.07879333,5.12477,19.78175221,1029.655621,60.64590293,1968.0979,4.038986355,504,118.5042493,4,6,7
1637317298,19/11/2021 10:21,52.07879333,5.12477,19.78275686,1029.6685,60.74705802,1938.31385,4.097560976,504,118.0112994,5,8,9
1637317300,19/11/2021 10:21,52.07879333,5.12477,19.79676572,1029.676066,60.82544142,1909.08315,4.097560976,504,117.5211268,6,8,10
1637317303,19/11/2021 10:21,52.07879333,5.12477,19.80567103,1029.67038,60.78103128,1879.24395,4.097560976,504,117.5211268,6,8,10
1637317306,19/11/2021 10:21,52.07879333,5.12477,19.82382416,1029.664662,60.7650377,1861.63175,4.097560976,504,117.0337079,6,8,10
1637317308,19/11/2021 10:21,52.07879333,5.124768333,19.83581208,1029.672122,60.72636178,1846.34325,4.097560976,504,117.0337079,6,8,9
1637317311,19/11/2021 10:21,52.07879333,5.124768333,19.851248,1029.669866,60.78837586,1838.2103,4.097560976,504,117.5211268,5,7,8
